UserId	Display Name	Profile Link	Rank1ARN	Rank2ABAN	Rank3CBEN	Rank4VBEN	Rank5VBEN2
1305850	user1305850	https://stackoverflow.com/users/1305850/user1305850	485	2	10	NA	NA
5728675	newguy	https://stackoverflow.com/users/5728675/newguy	484	7	14	NA	NA
201078	Gone Coding	https://stackoverflow.com/users/201078/gone-coding	729	NA	75	2	4
3375368	demonofthemist	https://stackoverflow.com/users/3375368/demonofthemist	785	NA	NA	6	8
1548895	Vadim Ovchinnikov	https://stackoverflow.com/users/1548895/vadim-ovchinnikov	811	NA	NA	3	9
6124708	Quentin Lerebours	https://stackoverflow.com/users/6124708/quentin-lerebours	723	NA	NA	10	1
1651224	Mrchuckles	https://stackoverflow.com/users/1651224/mrchuckles	2	NA	NA	NA	NA
980799	Mister Epic	https://stackoverflow.com/users/980799/mister-epic	651	NA	7	223	323
5902266	pHenomen	https://stackoverflow.com/users/5902266/phenomen	215	6	NA	NA	NA
4400252	riogrande	https://stackoverflow.com/users/4400252/riogrande	8	NA	NA	NA	NA
4223358	Tim Holley	https://stackoverflow.com/users/4223358/tim-holley	218	5	NA	NA	362
670396	elclanrs	https://stackoverflow.com/users/670396/elclanrs	842	NA	2	5	26
9642717	jsrath	https://stackoverflow.com/users/9642717/jsrath	720	NA	74	8	10
965051	adeneo	https://stackoverflow.com/users/965051/adeneo	41	NA	5	247	303
1947677	Itay	https://stackoverflow.com/users/1947677/itay	832	NA	NA	7	19
5493076	Kevin Rajan	https://stackoverflow.com/users/5493076/kevin-rajan	483	8	22	NA	NA
1145578	soyuka	https://stackoverflow.com/users/1145578/soyuka	495	NA	9	NA	NA
1115367	Kid Diamond	https://stackoverflow.com/users/1115367/kid-diamond	219	NA	NA	189	2
410856	gabaum10	https://stackoverflow.com/users/410856/gabaum10	481	1	NA	NA	385
1802970	bachka	https://stackoverflow.com/users/1802970/bachka	217	3	NA	NA	NA
7737117	Zach Broniszewski	https://stackoverflow.com/users/7737117/zach-broniszewski	213	10	NA	NA	NA
6157267	ElTrusto	https://stackoverflow.com/users/6157267/eltrusto	13	NA	NA	NA	7
1166683	BrandDev	https://stackoverflow.com/users/1166683/branddev	3	NA	NA	NA	NA
1280391	taki Martillo	https://stackoverflow.com/users/1280391/taki-martillo	216	4	NA	NA	NA
3007335	kamesh	https://stackoverflow.com/users/3007335/kamesh	631	NA	4	9	11
2220391	Spokey	https://stackoverflow.com/users/2220391/spokey	652	NA	6	213	304
1156334	DanV	https://stackoverflow.com/users/1156334/danv	494	NA	8	NA	NA
7043325	Tim Akgayev	https://stackoverflow.com/users/7043325/tim-akgayev	4	NA	NA	NA	5
2064800	Rebecca Cook	https://stackoverflow.com/users/2064800/rebecca-cook	5	NA	NA	NA	6
278893	Studio4	https://stackoverflow.com/users/278893/studio4	1	NA	NA	NA	NA
741747	The Alpha	https://stackoverflow.com/users/741747/the-alpha	843	NA	1	36	25
9968719	TheBandolero	https://stackoverflow.com/users/9968719/thebandolero	6	NA	NA	NA	NA
5812048	Andrew	https://stackoverflow.com/users/5812048/andrew	9	NA	NA	NA	NA
7208831	markdeitchell	https://stackoverflow.com/users/7208831/markdeitchell	7	NA	NA	NA	NA
6653823	Yury R	https://stackoverflow.com/users/6653823/yury-r	214	9	NA	NA	NA
1015959	Hank Lapidez	https://stackoverflow.com/users/1015959/hank-lapidez	633	NA	3	15	12
3478010	Roamer-1888	https://stackoverflow.com/users/3478010/roamer-1888	795	NA	NA	4	13
1428241	Barlas Apaydin	https://stackoverflow.com/users/1428241/barlas-apaydin	14	12	73	1	3
2024493	Matthew Semik	https://stackoverflow.com/users/2024493/matthew-semik	10	NA	NA	NA	NA
